Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Direction,Wind Speed
2010,1,1,0,30,0,0,0,0,0,0,14,15.21047574,940.7872314,97.49645137,175.4147152,351.1573181,2.252296448
2010,1,1,1,30,0,0,0,0,0,0,14,14.99006229,940.5686646,97.52569841,161.6247667,350.8883057,2.213562012
2010,1,1,2,30,0,0,0,0,0,0,14,14.75346338,940.4615479,96.94910836,147.8813175,351.4862671,2.293216944
2010,1,1,3,30,0,0,0,0,0,0,13,14.44013165,940.6050415,96.27789366,134.2311885,353.3598633,2.342545748
2010,1,1,4,30,0,0,0,0,0,0,13,14.05064115,940.8845825,96.03657998,120.7306683,355.6094666,2.309824467
2010,1,1,5,30,0,0,0,0,0,0,9,9.28194054,945.847168,100,107.4770102,55.90591812,1.42637825
2010,1,1,6,30,0,0,0,0,0,0,9,9.770652898,946.9358521,100,94.5425072,51.81482315,1.302842855
2010,1,1,7,30,65,195,92,52,323,96,10,13.31390643,947.6159668,83.75498823,82.1254364,47.11089325,1.077746987
2010,1,1,8,30,100,617,305,100,617,305,11,16.48119415,947.9692993,73.58927333,70.51748194,40.32896042,0.694319248
2010,1,1,9,30,125,757,502,125,757,502,11,19.68289429,948.2416382,58.04574879,60.19849638,2.80266571,0.552781582
2010,1,1,10,30,140,828,651,140,828,651,9,21.51473495,947.3493042,46.89284876,51.95377494,342.4022827,0.800041556
2010,1,1,11,30,148,860,736,148,860,736,8,22.56284556,946.144043,41.75914525,46.8984679,342.6255798,1.042288899
2010,1,1,12,30,149,864,748,149,864,748,8,22.84320911,945.2243652,40.54159988,46.09845536,346.4710999,1.272229314
2010,1,1,13,30,143,842,688,143,842,688,8,22.51318486,944.598877,40.46992703,49.76008448,351.2347412,1.544843554
2010,1,1,14,30,131,786,560,131,786,560,7,21.61691268,944.5640259,41.23961165,57.02811285,356.4059753,1.807031989
2010,1,1,15,30,110,677,378,110,677,378,8,20.1075149,944.7423706,46.62925975,66.72999783,4.103019714,2.016721725
2010,1,1,16,30,81,369,158,72,457,168,8,17.28756131,945.1106567,57.2442019,77.95605993,13.9757843,2.346024513
2010,1,1,17,30,0,0,0,3,10,3,7,15.15047716,945.7321167,60.39769462,90.12760599,25.2052002,2.666360617
2010,1,1,18,30,0,0,0,0,0,0,6,14.10514837,946.3237305,61.11062415,102.9115323,35.37579727,2.801287413
2010,1,1,19,30,0,0,0,0,0,0,6,13.15927578,946.80896,62.3126066,116.0850413,43.05337906,2.80163455
2010,1,1,20,30,0,0,0,0,0,0,5,12.28797085,947.15271,63.76749023,129.5203605,48.76991272,2.735613585
2010,1,1,21,30,0,0,0,0,0,0,5,11.50766122,947.2241821,65.12489161,143.1295294,54.08960724,2.602963448
2010,1,1,22,30,0,0,0,0,0,0,4,10.81541656,947.0856934,66.14713606,156.8503798,60.21808624,2.456270933
2010,1,1,23,30,0,0,0,0,0,0,4,10.22577343,946.6095581,66.64855314,170.6354,67.05819702,2.329017639
2010,1,2,0,30,0,0,0,0,0,0,3,9.702942428,946.078125,66.88568622,175.5519799,74.80649567,2.209058523
2010,1,2,1,30,0,0,0,0,0,0,3,9.256069867,945.8948364,66.84446889,161.7538111,82.96604919,2.069228411
2010,1,2,2,30,0,0,0,0,0,0,3,8.880485047,945.5535889,66.71617703,148.0037816,87.60176849,1.929066062
2010,1,2,3,30,0,0,0,0,0,0,2,8.575216391,945.4259644,66.65512835,134.3464335,91.47835541,1.773732662
2010,1,2,4,30,0,0,0,0,0,0,2,8.336899637,945.7216187,66.50282864,120.8375454,96.06846619,1.617445946
2010,1,2,5,30,0,0,0,0,0,0,2,8.168932111,946.3630371,66.24818111,107.5540533,102.0932159,1.464748621
2010,1,2,6,30,0,0,0,0,0,0,2,8.856325206,947.1276245,63.46337134,94.60936893,108.9683609,1.305262208
2010,1,2,7,30,64,192,91,52,328,96,4,12.93113156,947.56073,58.40142388,82.17911813,115.672348,1.095757246
2010,1,2,8,30,100,621,306,100,621,306,6,15.75817678,948.0192871,53.07382127,70.55354426,124.6147461,0.917368948
2010,1,2,9,30,126,758,502,126,758,502,8,19.69420008,948.0872192,47.33213204,60.21049138,160.2125854,0.795320094
2010,1,2,10,30,140,827,651,140,827,651,9,22.19856976,947.6566772,44.08226993,51.93347977,193.3109741,0.907851219
2010,1,2,11,30,147,858,735,147,858,735,10,23.28833027,946.7952881,43.49165034,46.83905094,208.01474,0.76125288
2010,1,2,12,30,148,861,747,148,861,747,10,23.81976379,945.7113647,43.12543324,46.0014187,228.0396881,0.546647668
2010,1,2,13,30,143,837,686,143,837,686,10,23.77095885,945.524353,43.71598094,49.63726859,268.482605,0.341009259
2010,1,2,14,30,131,780,558,131,780,558,10,22.98506059,945.3231812,45.23128232,56.89313713,321.4978027,0.550782979
2010,1,2,15,30,110,671,377,110,671,377,10,21.59200704,945.7293701,49.89590088,66.59169975,343.4595032,1.001547575
2010,1,2,16,30,81,379,161,72,452,168,10,18.83941267,946.0204468,57.78972197,77.8187863,358.2280273,1.578821898
2010,1,2,17,30,0,0,0,3,12,3,9,16.63869995,946.7542114,61.51203779,89.99341521,10.80457306,2.14723134
2010,1,2,18,30,0,0,0,0,0,0,8,15.64961914,947.3869019,62.22880524,102.7807878,21.90562439,2.481249094
2010,1,2,19,30,0,0,0,0,0,0,7,14.64122451,947.9593506,63.21970385,115.9582297,32.5801506,2.600675344
2010,1,2,20,30,0,0,0,0,0,0,7,13.68886301,948.1674194,64.19475884,129.3975983,44.52767563,2.664823532
2010,1,2,21,30,0,0,0,0,0,0,6,12.80456385,948.4283447,65.2425918,143.0109029,56.1649437,2.653712988
2010,1,2,22,30,0,0,0,0,0,0,5,12.01355858,947.9755859,66.244276,156.7360326,66.40640259,2.566829205
2010,1,2,23,30,0,0,0,0,0,0,5,11.36885888,947.2674561,66.85956252,170.5257687,75.71593475,2.451952219
2010,1,3,0,30,0,0,0,0,0,0,4,10.87389005,946.9571533,66.95018096,175.6590419,83.95980835,2.325618982
2010,1,3,1,30,0,0,0,0,0,0,4,10.49100475,946.3895264,67.00765316,161.8549277,91.0380249,2.162930965
2010,1,3,2,30,0,0,0,0,0,0,4,10.15127152,946.010437,67.22263097,148.0993293,97.51248932,1.95882237
2010,1,3,3,30,0,0,0,0,0,0,4,9.937031245,946.0429688,67.16088866,134.435782,104.227066,1.697114944
2010,1,3,4,30,0,0,0,0,0,0,3,9.772047337,946.0396118,67.05063423,120.9197086,112.1089935,1.435674787
2010,1,3,5,30,0,0,0,0,0,0,3,9.714624479,946.5410767,65.22650117,107.6275986,119.4785538,1.181197405
2010,1,3,6,30,0,0,0,0,0,0,5,10.45224442,947.0621948,70.0797462,94.67221127,126.1217957,0.963741362
2010,1,3,7,30,64,189,90,50,297,90,3,14.35006915,947.6195679,49.57288694,82.22818503,133.1992493,0.7626881
2010,1,3,8,30,97,583,291,97,583,291,7,16.88822294,947.725769,53.17050154,70.58429345,135.7984924,0.559224188
2010,1,3,9,30,123,720,481,123,720,481,9,20.57994032,947.5582886,47.92658457,60.2163978,71.38575745,0.093723908
2010,1,3,10,30,138,790,626,138,790,626,10,23.01995585,946.7164917,43.72642735,51.90633538,354.0726929,0.504641116
2010,1,3,11,30,145,823,709,145,823,709,10,23.95475315,945.6311646,43.30459871,46.77229416,9.509689331,0.673000753
2010,1,3,12,30,146,828,723,146,828,723,11,24.37107966,944.5631714,43.36175685,45.89719184,21.02144623,0.803847194
2010,1,3,13,30,141,806,665,141,806,665,11,24.21072643,943.6419067,44.28030401,49.50813665,27.99135208,0.939123571
2010,1,3,14,30,129,752,542,129,752,542,11,23.52335564,943.2597656,45.46942202,56.75306802,31.62342834,1.098593235
2010,1,3,15,30,108,645,366,108,645,366,11,22.33158436,943.0905151,49.63797249,66.44949808,30.55783463,1.285099506
2010,1,3,16,30,71,431,163,71,431,163,11,19.80771573,943.7687988,58.31080452,77.67861986,27.25984573,1.624527693
2010,1,3,17,30,0,0,0,4,13,4,10,17.80026538,944.1326294,61.40462589,89.85715989,29.63817596,1.991865277
2010,1,3,18,30,0,0,0,0,0,0,9,16.89967328,945.0014038,62.23615499,102.6486521,36.62033463,2.243370533
2010,1,3,19,30,0,0,0,0,0,0,9,16.02257403,945.4136353,63.4766433,115.8305876,44.6544342,2.403898239
2010,1,3,20,30,0,0,0,0,0,0,8,15.16117444,945.7519531,65.20541731,129.274476,50.72576141,2.373906612
2010,1,3,21,30,0,0,0,0,0,0,8,14.37003773,946.0083618,66.91373195,142.8923045,55.7127533,2.233857632
2010,1,3,22,30,0,0,0,0,0,0,7,13.65366889,945.9439087,68.42594751,156.6219891,58.43831635,2.062250137
2010,1,3,23,30,0,0,0,0,0,0,7,13.05651029,945.6242065,69.45382297,170.4162898,57.09843063,1.895411849
2010,1,4,0,30,0,0,0,0,0,0,7,12.51554188,945.2723999,70.20196266,175.7627087,51.41706085,1.829941034
2010,1,4,1,30,0,0,0,0,0,0,6,11.98542792,944.9381104,70.95660554,161.9537619,43.65722656,1.938422561
2010,1,4,2,30,0,0,0,0,0,0,6,11.47733503,944.8641968,71.68635988,148.1924182,35.8742218,2.169966221
2010,1,4,3,30,0,0,0,0,0,0,6,10.96940959,944.5633545,72.55034066,134.5223559,30.21566391,2.396857738
2010,1,4,4,30,0,0,0,0,0,0,5,10.49044798,944.9281006,73.49096765,120.9987158,27.40345764,2.537933826
2010,1,4,5,30,0,0,0,0,0,0,5,10.13881534,945.6055908,74.18482629,107.6975487,25.55813599,2.576105118
2010,1,4,6,30,0,0,0,0,0,0,6,10.50815138,946.0609741,74.04169589,94.73095328,23.10256195,2.496611834
2010,1,4,7,30,49,286,87,49,286,87,6,13.1084661,946.5672607,65.2784615,82.27255939,18.90454865,2.118052483
2010,1,4,8,30,96,572,287,96,572,287,7,16.2125422,946.9487915,57.76373023,70.60968122,13.395401,1.867715478
2010,1,4,9,30,122,712,476,122,712,476,8,19.30422221,946.5668335,48.85093353,60.21619205,4.441886902,2.183168411
2010,1,4,10,30,137,786,623,137,786,623,8,21.14059802,945.7804565,45.25718636,51.8723414,357.3411865,2.467440605
2010,1,4,11,30,145,823,709,145,823,709,9,22.20644676,944.4989624,44.59712776,46.69821852,353.9798279,2.648535252
2010,1,4,12,30,146,831,726,146,831,726,10,22.63991431,943.47052,45.61725985,45.78581755,352.1021423,2.75386405
2010,1,4,13,30,142,812,671,142,812,671,10,22.4953971,942.5825806,47.92498791,49.37275657,351.3344116,2.817811251
2010,1,4,14,30,130,761,549,130,761,549,11,21.82942712,942.230896,50.99531021,56.60799535,351.5384521,2.817223549
2010,1,4,15,30,109,656,373,109,656,373,11,20.53434352,942.1835938,55.78948108,66.30349418,352.3492737,2.709717035
2010,1,4,16,30,81,400,168,73,445,169,11,18.07641914,942.6251831,66.69857743,77.53566327,354.0159912,2.612384081
2010,1,4,17,30,0,0,0,4,17,5,11,16.11086679,943.3278198,72.84414023,89.71888979,356.849823,2.717877388
2010,1,4,18,30,0,0,0,0,0,0,10,15.21515574,944.102417,75.26165742,102.5152295,359.491272,2.694550276
2010,1,4,19,30,0,0,0,0,0,0,10,14.34663705,944.4066772,77.55379888,115.7022114,0.859443665,2.556394339
2010,1,4,20,30,0,0,0,0,0,0,10,13.50278166,944.6706543,79.74970958,129.1510774,1.416000366,2.318448544
2010,1,4,21,30,0,0,0,0,0,0,9,12.68579433,944.7302856,83.23311976,142.7737989,0.505836487,2.013792753
2010,1,4,22,30,0,0,0,0,0,0,9,11.9216247,944.3909302,86.7082512,156.5082778,357.032074,1.689522386
2010,1,4,23,30,0,0,0,0,0,0,9,11.21306888,944.0496826,90.00847701,170.3068778,350.7745361,1.45342195
2010,1,5,0,30,0,0,0,0,0,0,9,10.58013469,943.7300415,92.79292865,175.8621957,343.8783569,1.366447687
2010,1,5,1,30,0,0,0,0,0,0,9,10.00555226,943.5209961,95.11389062,162.0500839,338.90448,1.46746254
2010,1,5,2,30,0,0,0,0,0,0,8,9.4718298,943.0031738,96.79507115,148.2828843,334.6949463,1.854737401
2010,1,5,3,30,0,0,0,0,0,0,8,8.966924692,943.0863647,97.74851643,134.6060212,334.7279053,2.259124756
2010,1,5,4,30,0,0,0,0,0,0,8,8.472708896,942.9812012,97.73175767,121.0744538,338.4935913,2.488688231
2010,1,5,5,30,0,0,0,0,0,0,7,7.980004545,943.5020752,96.80025433,107.7638079,342.9765625,2.530709028
2010,1,5,6,30,0,0,0,0,0,0,6,8.296745727,944.1582642,90.43165583,94.78551669,346.3396912,2.433299065
2010,1,5,7,30,63,183,88,51,326,95,7,11.5316245,944.6835938,76.19489126,82.3121893,347.4883118,1.997410417
2010,1,5,8,30,105,599,304,100,627,308,7,14.9644255,945.267395,61.71851539,70.62966998,351.6691895,1.485803246
2010,1,5,9,30,126,768,508,126,768,508,6,18.4085031,945.3453979,46.63136406,60.20985899,348.4155884,1.465332508
2010,1,5,10,30,141,840,661,141,840,661,7,20.41812937,944.963623,42.13367721,51.83150532,341.7285767,1.258117676
2010,1,5,11,30,149,873,748,149,873,748,7,21.81121915,943.9718628,39.52845842,46.61685141,332.3680725,1.101115704
2010,1,5,12,30,150,877,763,150,877,763,7,22.56615038,943.0379639,38.00589348,45.66734453,324.6479187,1.043672681
2010,1,5,13,30,145,854,703,145,854,703,7,22.57017422,942.4205933,38.30546034,49.23120278,324.9932251,1.032690525
2010,1,5,14,30,133,800,575,133,800,575,7,21.78169886,942.244812,39.79061983,56.45801633,326.4447327,1.222378254
2010,1,5,15,30,112,693,392,112,693,392,7,20.30614652,942.0330811,44.36956978,66.15380003,331.6833801,1.485401988
2010,1,5,16,30,81,411,171,75,478,180,8,17.35365572,942.5220337,55.7933395,77.39003599,341.430603,1.85476625
2010,1,5,17,30,0,0,0,6,23,6,7,15.1273148,942.7838745,59.01967943,89.57877382,351.8682861,2.179506779
2010,1,5,18,30,0,0,0,0,0,0,6,14.14637019,943.3951416,60.39504158,102.3806235,0.717224121,2.383455038
2010,1,5,19,30,0,0,0,0,0,0,6,13.20941705,943.8153076,62.13553928,115.573195,6.540008545,2.514433384
2010,1,5,20,30,0,0,0,0,0,0,5,12.30229921,944.1640625,64.31242192,129.0274832,11.72640991,2.504804134
2010,1,5,21,30,0,0,0,0,0,0,5,11.44047353,944.0195923,66.4798067,142.6554461,17.5043869,2.375239134
2010,1,5,22,30,0,0,0,0,0,0,5,10.65450071,944.0214844,68.36432499,156.3949205,23.85297394,2.190560818
2010,1,5,23,30,0,0,0,0,0,0,4,9.983761873,943.8440552,69.71999253,170.1974385,30.34441376,1.976899385
2010,1,6,0,30,0,0,0,0,0,0,4,9.402006478,943.5531006,70.73271948,175.9566265,37.28620148,1.764135242
2010,1,6,1,30,0,0,0,0,0,0,3,8.932566474,943.4050293,71.0901067,162.143656,44.42664719,1.588213563
2010,1,6,2,30,0,0,0,0,0,0,3,8.510093213,942.9555054,71.36179518,148.3705613,43.50615311,1.450971603
2010,1,6,3,30,0,0,0,0,0,0,3,8.109747743,942.9952393,72.2762163,134.6866441,38.70971298,1.349042296
2010,1,6,4,30,0,0,0,0,0,0,3,7.733779607,943.1032104,73.5149269,121.1468104,34.91503525,1.276604652
2010,1,6,5,30,0,0,0,0,0,0,3,7.374578233,943.6384888,74.72207991,107.8262828,31.55067825,1.242377162
2010,1,6,6,30,0,0,0,0,0,0,3,7.898111746,944.071228,76.24869653,94.83582605,29.94588089,1.204027057
2010,1,6,7,30,62,181,87,51,333,96,4,11.97098394,944.74823,59.3308428,82.34702377,31.30769348,1.086871624
2010,1,6,8,30,106,606,307,100,635,311,6,14.9548165,945.3173828,57.33017119,70.64422528,46.26308823,0.837465823
2010,1,6,9,30,127,775,512,127,775,512,7,18.8738513,945.5269165,46.75909494,60.19738548,49.55245209,0.657708466
2010,1,6,10,30,142,845,665,142,845,665,7,21.36070281,944.9560547,39.79861662,51.78383597,53.48761749,0.564567208
2010,1,6,11,30,129,875,731,149,876,752,7,22.55968938,943.7781982,38.84860307,46.52822138,61.15098953,0.585125625
2010,1,6,12,30,150,880,767,150,880,767,8,23.18896673,942.8823853,38.24867437,45.54182204,60.22315216,0.646280825
2010,1,6,13,30,145,857,706,145,857,706,8,23.1354997,942.4420776,38.96364898,49.08354969,50.75078583,0.818069935
2010,1,6,14,30,133,801,578,133,801,578,8,22.36536884,942.1644287,40.77846268,56.30322735,44.27911377,1.009783864
