Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Direction,Wind Speed
2013,1,1,0,30,0,0,0,0,0,0,13,17.32036409,945.1881714,80.64818725,175.443336,162.1386719,1.551724315
2013,1,1,1,30,0,0,0,0,0,0,14,17.01172606,944.7445068,82.94957162,161.6515146,165.1192322,1.553657889
2013,1,1,2,30,0,0,0,0,0,0,14,16.82610758,944.8126221,84.68396684,147.9066477,170.6696167,1.636808991
2013,1,1,3,30,0,0,0,0,0,0,14,16.52710742,945.0696411,86.10984404,134.2549784,176.2666931,1.778506875
2013,1,1,4,30,0,0,0,0,0,0,14,16.43586534,945.4279175,87.40049957,120.7526797,180.484436,1.825968146
2013,1,1,5,30,0,0,0,0,0,0,11,14.48858757,942.0495605,80.721507,107.4966601,172.7773132,1.818658829
2013,1,1,6,30,0,0,0,0,0,0,11,15.01980153,942.9265137,81.0449707,94.55945975,180.5053558,1.712429643
2013,1,1,7,30,54,27,58,55,171,78,12,17.41670148,943.6776123,72.82602585,82.13892402,186.6556549,1.482686758
2013,1,1,8,30,151,294,250,122,435,267,13,19.76832851,944.0779419,65.52005134,70.52631164,189.0257874,1.089930773
2013,1,1,9,30,233,306,386,159,581,448,14,23.26941243,944.2950439,56.26309184,60.20099751,218.0592194,1.242699146
2013,1,1,10,30,313,193,432,180,659,587,15,25.62616236,943.8179321,52.06225813,51.9478217,237.0276031,1.54410696
2013,1,1,11,30,290,503,634,191,696,667,16,26.92792706,942.7340698,51.45791422,46.88232859,248.2573853,1.66694212
2013,1,1,12,30,321,455,637,192,702,679,16,27.10982767,941.4155273,52.79639449,46.07259734,259.7910767,1.708128452
2013,1,1,13,30,255,98,319,185,676,622,17,26.96388631,940.5245361,54.56650793,49.72764744,273.1028442,1.719548106
2013,1,1,14,30,168,614,503,168,614,503,17,26.19309881,940.4335938,57.24916106,56.9926498,283.9275208,1.64335978
2013,1,1,15,30,158,22,167,137,495,333,16,25.07198514,940.5819092,60.52734232,66.69379057,296.3619995,1.498213053
2013,1,1,16,30,32,0,32,83,278,141,17,23.74673813,941.0812378,69.33071901,77.92022388,318.1434021,1.356606364
2013,1,1,17,30,0,0,0,1,1,1,17,22.6643718,941.3810425,72.90718542,90.0927641,350.8728027,1.481990457
